timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1575469489646,2982,Blog PageHTTP Request,200,OK,Users Thread 1-1,text,true,,36190,337,5,5,http://lifecharger.org/make-the-rest-of-your-life-the-best-of-your-life/,1310,0,286
1575469489646,1310,Blog PageHTTP Request-0,301,Moved Permanently,Users Thread 1-1,text,true,,948,168,5,5,http://lifecharger.org/make-the-rest-of-your-life-the-best-of-your-life,1310,0,286
1575469490956,1672,Blog PageHTTP Request-1,200,OK,Users Thread 1-1,text,true,,35242,169,5,5,http://lifecharger.org/make-the-rest-of-your-life-the-best-of-your-life/,1106,0,0
1575469490045,3516,Blog PageHTTP Request,200,OK,Users Thread 1-2,text,true,,36176,337,4,4,http://lifecharger.org/make-the-rest-of-your-life-the-best-of-your-life/,1725,0,689
1575469490045,1725,Blog PageHTTP Request-0,301,Moved Permanently,Users Thread 1-2,text,true,,948,168,4,4,http://lifecharger.org/make-the-rest-of-your-life-the-best-of-your-life,1725,0,689
1575469491771,1790,Blog PageHTTP Request-1,200,OK,Users Thread 1-2,text,true,,35228,169,4,4,http://lifecharger.org/make-the-rest-of-your-life-the-best-of-your-life/,1209,0,0
1575469490441,3470,Blog PageHTTP Request,200,OK,Users Thread 1-3,text,true,,36210,337,3,3,http://lifecharger.org/make-the-rest-of-your-life-the-best-of-your-life/,1329,0,293
1575469490441,1329,Blog PageHTTP Request-0,301,Moved Permanently,Users Thread 1-3,text,true,,948,168,3,3,http://lifecharger.org/make-the-rest-of-your-life-the-best-of-your-life,1329,0,293
1575469491771,2140,Blog PageHTTP Request-1,200,OK,Users Thread 1-3,text,true,,35262,169,3,3,http://lifecharger.org/make-the-rest-of-your-life-the-best-of-your-life/,1553,0,0
1575469490842,3613,Blog PageHTTP Request,200,OK,Users Thread 1-4,text,true,,36176,337,2,2,http://lifecharger.org/make-the-rest-of-your-life-the-best-of-your-life/,1626,0,286
1575469490842,1626,Blog PageHTTP Request-0,301,Moved Permanently,Users Thread 1-4,text,true,,948,168,2,2,http://lifecharger.org/make-the-rest-of-your-life-the-best-of-your-life,1626,0,286
1575469492468,1987,Blog PageHTTP Request-1,200,OK,Users Thread 1-4,text,true,,35228,169,2,2,http://lifecharger.org/make-the-rest-of-your-life-the-best-of-your-life/,1408,0,0
1575469491242,4234,Blog PageHTTP Request,200,OK,Users Thread 1-5,text,true,,36176,337,1,1,http://lifecharger.org/make-the-rest-of-your-life-the-best-of-your-life/,1661,0,291
1575469491242,1661,Blog PageHTTP Request-0,301,Moved Permanently,Users Thread 1-5,text,true,,948,168,1,1,http://lifecharger.org/make-the-rest-of-your-life-the-best-of-your-life,1661,0,291
1575469492903,2573,Blog PageHTTP Request-1,200,OK,Users Thread 1-5,text,true,,35228,169,1,1,http://lifecharger.org/make-the-rest-of-your-life-the-best-of-your-life/,1028,0,0
